!Areas:
Windows: [
	!( Nodes )
	!Floor 1
	( 1 )  1
	( 2 )  1
	( 7 )  1
	( 8 )  1
	( 13 ) 1
	( 14 ) 1
	( 19 ) 1
	( 20 ) 1
	!Floor 2
	( 27 ) 1
	( 28 ) 1
	( 29 ) 1
	( 33 ) 1
	( 34 ) 1
	( 39 ) 1
	( 40 ) 1
	( 45 ) 1
	( 46 ) 1
	!Floor 3
	!( 52 ) 1
	!( 53 ) 1
	!( 58 ) 1
	!( 59 ) 1
	!( 60 ) 1
	!( 65 ) 1
	!( 66 ) 1
	!Floor 4
	!( 72 ) 1
	!( 73 ) 1
	!( 74 ) 1
	!( 79 ) 1
	!( 80 ) 1
	!Floor 5
	!( 85 ) 1
	!( 86 ) 1
	!( 87 ) 1
	!( 88 ) 1
	
]

Oceanview: [
	!( Nodes )
	!Floor 1
	( 2 )  1
	( 8 )  1
	( 13 ) 1
	( 14 ) 1
	( 19 ) 1
	( 20 ) 1
	!Floor 2
	( 28 ) 1
	( 34 ) 1
	( 39 ) 1
	( 40 ) 1
	( 45 ) 1
	( 46 ) 1
	!Floor 3
	!( 53 ) 1
	!( 59 ) 1
	!( 60 ) 1
	!( 65 ) 1
	!( 66 ) 1
	!Floor 4
	!( 73 ) 1
	!( 74 ) 1
	!( 79 ) 1
	!( 80 ) 1
	!Floor 5
	!( 87 ) 1
	!( 88 ) 1
]

AreasFloors : [
	!(Floors, Nodes)
	!Floor 1
	( 1 1 )  1
	( 1 2 )  1
	( 1 3 )  1
	( 1 4 )  1
	( 1 5 )  1
	( 1 6 )  1		
	( 1 7 )  1
	( 1 8 )  1
	( 1 9 )  1
	( 1 10 ) 1
	( 1 11 ) 1
	( 1 12 ) 1
	( 1 13 ) 1
	( 1 14 ) 1
	( 1 15 ) 1
	( 1 16 ) 1
	( 1 17 ) 1
	( 1 18 ) 1
	( 1 19 ) 1
	( 1 20 ) 1
	( 1 21 ) 1
	( 1 22 ) 1
	( 1 23 ) 1
	( 1 24 ) 1
	( 1 25 ) 1
	( 1 26 ) 1
	!Floor 2
	( 2 27 ) 1
	( 2 28 ) 1
	( 2 29 ) 1
	( 2 30 ) 1
	( 2 31 ) 1
	( 2 32 ) 1
	( 2 33 ) 1
	( 2 34 ) 1
	( 2 35 ) 1
	( 2 36 ) 1
	( 2 37 ) 1
	( 2 38 ) 1
	( 2 39 ) 1
	( 2 40 ) 1
	( 2 41 ) 1
	( 2 42 ) 1
	( 2 43 ) 1
	( 2 44 ) 1
	( 2 45 ) 1
	( 2 46 ) 1
	( 2 47 ) 1
	( 2 48 ) 1
	( 2 49 ) 1
	( 2 50 ) 1
	( 2 51 ) 1
	!Floor 3
	( 3 52 ) 1
	!Floor 4
	( 4 53 ) 1
	!Floor 5
	( 5 54 ) 1
	]

!Functions:
FunctionsWindows: [
	!( Functions )
	!( 44 ) 1 !Day area
	!( 45 ) 1 !Day area
	!( 48 ) 1 !Bed ward medicine
	!( 49 ) 1 !Bed ward 
	!( 50 ) 1 !Bed ward orthopedics/surgery
	!( 51 ) 1 !Patient hotel
	!( 52 ) 1 !Children bed ward
]

FunctionsOceanview: [
	!( Functions )
	
]


LockedFunctionsCentre: [
	!( Functions ) Nodes
	!Ambulance central locked to ambulance building
	( 16 ) 25
	( 17 ) 51
	
	!---------------------------------------------------
	!Lock all functions in floor 2 to floor 1
	( 1 ) 8
	( 3 ) 21
	( 6 ) 26
	( 7 ) 26
	( 8 ) 19
	( 9 ) 26
	( 11 ) 5
	( 16 ) 25
	( 20 ) 1
	( 21 ) 23
	( 22 ) 11
	( 24 ) 12
	( 26 ) 18
	( 27 ) 15
	( 28 ) 14
	( 29 ) 24
	( 34 ) 9
	( 37 ) 17
	( 38 ) 9
	( 42 ) 3

	
	!Lock all functions in floor 3 to floor 3 (node 52)
	( 2 ) 52
	( 33 ) 52
	( 35 ) 52
	( 36 ) 52
	( 47 ) 52
	( 50 ) 52
	( 51 ) 52
	( 52 ) 52
	( 53 ) 52
	( 54 ) 52
	( 55 ) 52
	!Lock all functions in floor 4 to floor 4 (node 53)
	( 5 ) 53
	( 10 ) 53
	( 12 ) 53
	( 23 ) 53
	( 49 ) 53
	( 57 ) 53
	!Lock all functions in floor 5 to floor 5 (node 54)
	( 13 ) 54
	( 30 ) 54
	( 43 ) 54
	( 56 ) 54
	
]


LockedFunctions: [
	!( Functions Nodes )
	!The emergency department locked to the emercency entrance
	( 1 8  ) 1
	!Reception and pasient information + LMS + Ministry locked to the public entrance
	( 6 26 ) 1
	( 7 26 ) 1
	( 9 26 ) 1
	
	!Floor 1
	( 1 7 ) 1
	( 1 8 ) 1
	( 1 10 ) 1
	( 1 20 ) 1
	( 3 21 ) 1
	( 6 26 ) 1
	( 7 26 ) 1
	( 8 19 ) 1
	( 9 26 ) 1
	( 11 2 ) 1
	( 11 4 ) 1
	( 11 5 ) 1
	( 16 25 ) 1
	( 20 1 ) 1
	( 20 4 ) 1
	( 20 6 ) 1
	( 21 20 ) 1
	( 21 22 ) 1
	( 21 23 ) 1
	( 22 10 ) 1
	( 22 11 ) 1
	( 24 7 ) 1
	( 24 12 ) 1
	( 26 13 ) 1
	( 26 18 ) 1
	( 27 15 ) 1
	( 28 2 ) 1
	( 28 13 ) 1
	( 28 14 ) 1
	( 28 16 ) 1
	( 28 17 ) 1
	( 29 21 ) 1
	( 29 24 ) 1
	( 34 9 ) 1
	( 37 17 ) 1
	( 38 9 ) 1
	( 42 3 ) 1
	( 42 6 ) 1
	( 42 15 ) 1
	
]

LockedMinimumFraction: [
	!( Functions Nodes ) Fraction
	
]

LockFloor : [
	( 1 1 ) 1
	( 1 3 ) 1
	( 1 6 ) 1
	( 1 7 ) 1
	( 1 8 ) 1
	( 1 9 ) 1
	( 1 11 ) 1
	( 1 16 ) 1
	( 1 20 ) 1
	( 1 21 ) 1
	( 1 22 ) 1
	( 1 24 ) 1
	( 1 26 ) 1
	( 1 27 ) 1
	( 1 28 ) 1
	( 1 29 ) 1
	( 1 34 ) 1
	( 1 37 ) 1
	( 1 38 ) 1
	( 1 42 ) 1
	( 2 4 ) 1
	( 2 14 ) 1
	( 2 15 ) 1
	( 2 17 ) 1
	( 2 18 ) 1
	( 2 19 ) 1
	( 2 25 ) 1
	( 2 31 ) 1
	( 2 32 ) 1
	( 2 39 ) 1
	( 2 40 ) 1
	( 2 41 ) 1
	( 2 44 ) 1
	( 2 45 ) 1
	( 2 46 ) 1
	( 2 48 ) 1
	( 3 2 ) 1
	( 3 33 ) 1
	( 3 35 ) 1
	( 3 36 ) 1
	( 3 47 ) 1
	( 3 50 ) 1
	( 3 51 ) 1
	( 3 52 ) 1
	( 3 53 ) 1
	( 3 54 ) 1
	( 3 55 ) 1
	( 4 5 ) 1
	( 4 10 ) 1
	( 4 12 ) 1
	( 4 23 ) 1
	( 4 49 ) 1
	( 4 57 ) 1
	( 5 13 ) 1
	( 5 30 ) 1
	( 5 43 ) 1
	( 5 56 ) 1
]

LockNotFloor : []
LockSameFloor : []
