DistanceNodes:
[
0	11	9	7	13	5	11	20	12	16	16	8	24	17	17	21	13	21	27	20	20	24	16	24	22	16	29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	35	30	23	22	27	19	27	25	30	23	22	27	19	27	33	26	25	30	22	30	15	16
11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	20	20	17	24	16	17	30	10	22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	33	23	16	15	20	12	20	21	23	16	15	20	12	20	26	24	21	28	20	23	8	9
9	10	0	14	6	6	12	17	9	17	13	9	17	10	8	14	6	14	20	17	14	21	13	17	23	7	21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	30	22	15	14	19	11	19	20	22	15	14	19	11	19	25	21	20	25	17	22	7	8
7	6	14	0	10	10	16	24	17	21	20	13	21	14	14	18	10	18	24	24	21	28	20	21	27	14	26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	37	27	20	19	24	16	24	25	27	20	19	24	16	24	30	28	25	32	24	27	12	13
13	6	6	10	0	10	16	16	13	20	12	13	13	6	6	10	2	10	16	16	13	20	12	13	26	6	18	11	10	15	7	15	21	19	16	23	15	18	18	11	10	15	7	15	21	19	16	23	15	18	29	19	12	11	16	8	16	17	19	12	11	16	8	16	22	20	17	24	16	19	4	5
5	14	6	10	10	0	8	17	9	13	13	5	21	14	14	18	10	18	24	17	17	21	13	21	19	13	26	19	18	23	15	23	29	22	21	26	18	26	26	19	18	23	15	23	29	22	21	26	18	26	32	27	20	19	24	16	24	22	27	20	19	24	16	24	30	23	22	27	19	27	12	13
11	20	12	16	16	8	0	11	9	7	13	5	27	20	20	24	16	24	24	17	17	21	13	21	13	16	32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	33	26	25	30	22	30	22	33	26	25	30	22	30	30	23	22	27	19	27	15	16
20	20	17	24	16	17	11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	12	10	25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	26	24	21	28	20	23	15	26	24	21	28	20	23	23	16	15	20	12	20	8	9
12	17	9	17	13	9	9	10	0	14	6	6	20	17	14	21	13	17	17	10	8	14	6	14	20	7	24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	25	21	20	25	17	22	14	25	21	20	25	17	22	22	15	14	19	11	19	7	8
16	24	17	21	20	13	7	6	14	0	10	10	24	24	21	28	20	21	21	14	14	18	10	18	8	14	29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	30	28	25	32	24	27	19	30	28	25	32	24	27	27	20	19	24	16	24	12	13
16	16	13	20	12	13	13	6	6	10	0	10	16	16	13	20	12	13	13	6	6	10	2	10	16	6	21	19	16	23	15	18	18	11	10	15	7	15	21	19	16	23	15	18	18	11	10	15	7	15	21	22	20	17	24	16	19	11	22	20	17	24	16	19	19	12	11	16	8	16	4	5
8	17	9	13	13	5	5	14	6	10	10	0	24	17	17	21	13	21	21	14	14	18	10	18	16	13	29	22	21	26	18	26	26	19	18	23	15	23	29	22	21	26	18	26	26	19	18	23	15	23	29	30	23	22	27	19	27	19	30	23	22	27	19	27	27	20	19	24	16	24	12	13
24	17	17	21	13	21	27	20	20	24	16	24	0	11	9	7	13	5	11	20	12	16	16	8	30	16	29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	35	30	23	22	27	19	27	25	30	23	22	27	19	27	33	26	25	30	22	30	15	16
17	10	10	14	6	14	20	20	17	24	16	17	11	0	10	6	6	14	20	20	17	24	16	17	30	10	22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	33	23	16	15	20	12	20	21	23	16	15	20	12	20	26	24	21	28	20	23	8	9
17	10	8	14	6	14	20	17	14	21	13	17	9	10	0	14	6	6	12	17	9	17	13	9	27	7	21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	30	22	15	14	19	11	19	20	22	15	14	19	11	19	25	21	20	25	17	22	7	8
21	14	14	18	10	18	24	24	21	28	20	21	7	6	14	0	10	10	16	24	17	21	20	13	34	14	26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	37	27	20	19	24	16	24	25	27	20	19	24	16	24	30	28	25	32	24	27	12	13
13	6	6	10	2	10	16	16	13	20	12	13	13	6	6	10	0	10	16	16	13	20	12	13	26	6	18	11	10	15	7	15	21	19	16	23	15	18	18	11	10	15	7	15	21	19	16	23	15	18	29	19	12	11	16	8	16	17	19	12	11	16	8	16	22	20	17	24	16	19	4	5
