DistanceNodes:
[
0	11	9	7	13	5	29	22	22	26	18	26	30	23	23	27	19	27	16	17	18
11	0	10	6	6	14	22	15	15	19	11	19	23	16	16	20	12	20	9	10	11
9	10	0	14	6	6	22	15	15	19	11	19	23	16	16	20	12	20	9	10	11
7	6	14	0	10	10	26	19	19	23	15	23	27	20	20	24	16	24	13	14	15
13	6	6	10	0	10	18	11	11	15	7	15	19	12	12	16	8	16	5	6	7
5	14	6	10	10	0	26	19	19	23	15	23	27	20	20	24	16	24	13	14	15
29	22	22	26	18	26	0	13	11	9	15	7	29	22	22	26	18	26	17	16	17
22	15	15	19	11	19	13	0	12	8	8	16	22	15	15	19	11	19	10	9	10
22	15	15	19	11	19	11	12	0	16	8	8	22	15	15	19	11	19	10	9	10
26	19	19	23	15	23	9	8	16	0	12	12	26	19	19	23	15	23	14	13	14
18	11	11	15	7	15	15	8	8	12	0	12	18	11	11	15	7	15	6	5	6
26	19	19	23	15	23	7	16	8	12	12	0	26	19	19	23	15	23	14	13	14
30	23	23	27	19	27	29	22	22	26	18	26	0	13	11	9	15	7	18	17	16
23	16	16	20	12	20	22	15	15	19	11	19	13	0	12	8	8	16	11	10	9
23	16	16	20	12	20	22	15	15	19	11	19	11	12	0	16	8	8	11	10	9
27	20	20	24	16	24	26	19	19	23	15	23	9	8	16	0	12	12	15	14	13
19	12	12	16	8	16	18	11	11	15	7	15	15	8	8	12	0	12	7	6	5
27	20	20	24	16	24	26	19	19	23	15	23	7	16	8	12	12	0	15	14	13
16	9	9	13	5	13	17	10	10	14	6	14	18	11	11	15	7	15	0	3	4
17	10	10	14	6	14	16	9	9	13	5	13	17	10	10	14	6	14	3	0	3
18	11	11	15	7	15	17	10	10	14	6	14	16	9	9	13	5	13	4	3	0
]
