DistanceNodes:
[
0	11	9	7	13	5	24	17	17	21	13	21	11	20	12	16	16	8
11	0	10	6	6	14	17	10	10	14	6	14	20	29	21	25	25	17
9	10	0	14	6	6	17	10	10	14	6	14	12	21	13	17	17	9
7	6	14	0	10	10	21	14	14	18	10	18	16	25	17	21	21	13
13	6	6	10	0	10	13	6	6	10	2	10	16	25	17	21	21	13
5	14	6	10	10	0	21	14	14	18	10	18	8	17	9	13	13	5
24	17	17	21	13	21	0	11	9	7	13	5	27	36	28	32	32	24
17	10	10	14	6	14	11	0	10	6	6	14	20	29	21	25	25	17
17	10	10	14	6	14	9	10	0	14	6	6	20	29	21	25	25	17
21	14	14	18	10	18	7	6	14	0	10	10	24	33	25	29	29	21
13	6	6	10	2	10	13	6	6	10	0	10	16	25	17	21	21	13
21	14	14	18	10	18	5	14	6	10	10	0	24	33	25	29	29	21
11	20	12	16	16	8	27	20	20	24	16	24	0	11	9	7	13	5
20	29	21	25	25	17	36	29	29	33	25	33	11	0	10	6	6	14
12	21	13	17	17	9	28	21	21	25	17	25	9	10	0	14	6	6
16	25	17	21	21	13	32	25	25	29	21	29	7	6	14	0	10	10
16	25	17	21	21	13	32	25	25	29	21	29	13	6	6	10	0	10
8	17	9	13	13	5	24	17	17	21	13	21	5	14	6	10	10	0
]
