DistanceNodes:
[
0	11	9	7	13	5	24	17	17	21	13	21	31	24	24	28	20	28	31	24	24	28	20	28	32	25	25	29	21	29	32	25	25	29	21	29
11	0	10	6	6	14	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22
9	10	0	14	6	6	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22
7	6	14	0	10	10	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26
13	6	6	10	0	10	13	6	6	10	2	10	20	13	13	17	9	17	20	13	13	17	9	17	21	14	14	18	10	18	21	14	14	18	10	18
5	14	6	10	10	0	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26
24	17	17	21	13	21	0	11	9	7	13	5	31	24	24	28	20	28	31	24	24	28	20	28	32	25	25	29	21	29	32	25	25	29	21	29
17	10	10	14	6	14	11	0	10	6	6	14	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22
17	10	10	14	6	14	9	10	0	14	6	6	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22
21	14	14	18	10	18	7	6	14	0	10	10	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26
13	6	6	10	2	10	13	6	6	10	0	10	20	13	13	17	9	17	20	13	13	17	9	17	21	14	14	18	10	18	21	14	14	18	10	18
21	14	14	18	10	18	5	14	6	10	10	0	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26
31	24	24	28	20	28	31	24	24	28	20	28	0	11	9	7	13	5	24	17	17	21	13	21	31	24	24	28	20	28	31	24	24	28	20	28
24	17	17	21	13	21	24	17	17	21	13	21	11	0	10	6	6	14	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21
24	17	17	21	13	21	24	17	17	21	13	21	9	10	0	14	6	6	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21
28	21	21	25	17	25	28	21	21	25	17	25	7	6	14	0	10	10	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25
20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	0	10	13	6	6	10	2	10	20	13	13	17	9	17	20	13	13	17	9	17
28	21	21	25	17	25	28	21	21	25	17	25	5	14	6	10	10	0	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25
31	24	24	28	20	28	31	24	24	28	20	28	24	17	17	21	13	21	0	11	9	7	13	5	31	24	24	28	20	28	31	24	24	28	20	28
24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	11	0	10	6	6	14	24	17	17	21	13	21	24	17	17	21	13	21
24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	9	10	0	14	6	6	24	17	17	21	13	21	24	17	17	21	13	21
28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	7	6	14	0	10	10	28	21	21	25	17	25	28	21	21	25	17	25
20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	2	10	13	6	6	10	0	10	20	13	13	17	9	17	20	13	13	17	9	17
28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	5	14	6	10	10	0	28	21	21	25	17	25	28	21	21	25	17	25
32	25	25	29	21	29	32	25	25	29	21	29	31	24	24	28	20	28	31	24	24	28	20	28	0	11	9	7	13	5	24	17	17	21	13	21
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	11	0	10	6	6	14	17	10	10	14	6	14
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	9	10	0	14	6	6	17	10	10	14	6	14
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	7	6	14	0	10	10	21	14	14	18	10	18
21	14	14	18	10	18	21	14	14	18	10	18	20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	0	10	13	6	6	10	2	10
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	5	14	6	10	10	0	21	14	14	18	10	18
32	25	25	29	21	29	32	25	25	29	21	29	31	24	24	28	20	28	31	24	24	28	20	28	24	17	17	21	13	21	0	11	9	7	13	5
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	11	0	10	6	6	14
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	9	10	0	14	6	6
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	7	6	14	0	10	10
21	14	14	18	10	18	21	14	14	18	10	18	20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	2	10	13	6	6	10	0	10
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	5	14	6	10	10	0
]
