DistanceNodes:
[
0	11	9	7	13	5	11	20	12	16	16	8	24	17	17	21	13	21	27	20	20	24	16	24	22	16	31	24	23	28	20	28	34	27	26	31	23	31	31	24	23	28	20	28	34	27	26	31	23	31	37	32	25	24	29	21	29	27	32	25	24	29	21	29	35	28	27	32	24	32	25	28	33	26	25	30	22	30	36	29	28	33	25	33	26	29	26	29
11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	20	20	17	24	16	17	30	10	24	17	16	21	13	21	27	25	22	29	21	24	24	17	16	21	13	21	27	25	22	29	21	24	35	25	18	17	22	14	22	23	25	18	17	22	14	22	28	26	23	30	22	25	18	24	26	19	18	23	15	23	29	27	24	31	23	26	19	25	19	25
9	10	0	14	6	6	12	17	9	17	13	9	17	10	8	14	6	14	20	17	14	21	13	17	23	7	23	16	15	20	12	20	26	22	21	26	18	23	23	16	15	20	12	20	26	22	21	26	18	23	32	24	17	16	21	13	21	22	24	17	16	21	13	21	27	23	22	27	19	24	17	23	25	18	17	22	14	22	28	24	23	28	20	25	18	24	18	24
7	6	14	0	10	10	16	24	17	21	20	13	21	14	14	18	10	18	24	24	21	28	20	21	27	14	28	21	20	25	17	25	31	29	26	33	25	28	28	21	20	25	17	25	31	29	26	33	25	28	39	29	22	21	26	18	26	27	29	22	21	26	18	26	32	30	27	34	26	29	22	28	30	23	22	27	19	27	33	31	28	35	27	30	23	29	23	29
13	6	6	10	0	10	16	16	13	20	12	13	13	6	6	10	2	10	16	16	13	20	12	13	26	6	20	13	12	17	9	17	23	21	18	25	17	20	20	13	12	17	9	17	23	21	18	25	17	20	31	21	14	13	18	10	18	19	21	14	13	18	10	18	24	22	19	26	18	21	14	20	22	15	14	19	11	19	25	23	20	27	19	22	15	21	15	21
5	14	6	10	10	0	8	17	9	13	13	5	21	14	14	18	10	18	24	17	17	21	13	21	19	13	28	21	20	25	17	25	31	24	23	28	20	28	28	21	20	25	17	25	31	24	23	28	20	28	34	29	22	21	26	18	26	24	29	22	21	26	18	26	32	25	24	29	21	29	22	25	30	23	22	27	19	27	33	26	25	30	22	30	23	26	23	26
11	20	12	16	16	8	0	11	9	7	13	5	27	20	20	24	16	24	24	17	17	21	13	21	13	16	34	27	26	31	23	31	31	24	23	28	20	28	34	27	26	31	23	31	31	24	23	28	20	28	34	35	28	27	32	24	32	24	35	28	27	32	24	32	32	25	24	29	21	29	28	25	36	29	28	33	25	33	33	26	25	30	22	30	29	26	29	26
20	20	17	24	16	17	11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	12	10	27	25	22	29	21	24	24	17	16	21	13	21	27	25	22	29	21	24	24	17	16	21	13	21	27	28	26	23	30	22	25	17	28	26	23	30	22	25	25	18	17	22	14	22	24	18	29	27	24	31	23	26	26	19	18	23	15	23	25	19	25	19
12	17	9	17	13	9	9	10	0	14	6	6	20	17	14	21	13	17	17	10	8	14	6	14	20	7	26	22	21	26	18	23	23	16	15	20	12	20	26	22	21	26	18	23	23	16	15	20	12	20	26	27	23	22	27	19	24	16	27	23	22	27	19	24	24	17	16	21	13	21	23	17	28	24	23	28	20	25	25	18	17	22	14	22	24	18	24	18
16	24	17	21	20	13	7	6	14	0	10	10	24	24	21	28	20	21	21	14	14	18	10	18	8	14	31	29	26	33	25	28	28	21	20	25	17	25	31	29	26	33	25	28	28	21	20	25	17	25	31	32	30	27	34	26	29	21	32	30	27	34	26	29	29	22	21	26	18	26	28	22	33	31	28	35	27	30	30	23	22	27	19	27	29	23	29	23
