DistanceNodes:
[
0	11	9	7	13	5	11	20	12	16	16	8	24	17	17	21	13	21	27	20	20	24	16	24	22	16	29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	35	15	16	17
11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	20	20	17	24	16	17	30	10	22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	33	8	9	10
9	10	0	14	6	6	12	17	9	17	13	9	17	10	8	14	6	14	20	17	14	21	13	17	23	7	21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	30	7	8	9
7	6	14	0	10	10	16	24	17	21	20	13	21	14	14	18	10	18	24	24	21	28	20	21	27	14	26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	37	12	13	14
13	6	6	10	0	10	16	16	13	20	12	13	13	6	6	10	2	10	16	16	13	20	12	13	26	6	18	11	10	15	7	15	21	19	16	23	15	18	18	11	10	15	7	15	21	19	16	23	15	18	29	4	5	6
5	14	6	10	10	0	8	17	9	13	13	5	21	14	14	18	10	18	24	17	17	21	13	21	19	13	26	19	18	23	15	23	29	22	21	26	18	26	26	19	18	23	15	23	29	22	21	26	18	26	32	12	13	14
11	20	12	16	16	8	0	11	9	7	13	5	27	20	20	24	16	24	24	17	17	21	13	21	13	16	32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	15	16	17
20	20	17	24	16	17	11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	12	10	25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	8	9	10
12	17	9	17	13	9	9	10	0	14	6	6	20	17	14	21	13	17	17	10	8	14	6	14	20	7	24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	7	8	9
16	24	17	21	20	13	7	6	14	0	10	10	24	24	21	28	20	21	21	14	14	18	10	18	8	14	29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	12	13	14
16	16	13	20	12	13	13	6	6	10	0	10	16	16	13	20	12	13	13	6	6	10	2	10	16	6	21	19	16	23	15	18	18	11	10	15	7	15	21	19	16	23	15	18	18	11	10	15	7	15	21	4	5	6
