 Run time: 9.363

Objective value: 0

Centres locked to locations (Function) Node:
( 1 ) 20
( 2 ) 24
( 3 ) 17
( 6 ) 26
( 7 ) 26
( 8 ) 5
( 9 ) 26
( 12 ) 21
( 13 ) 14
( 14 ) 3
( 15 ) 11
( 16 ) 25
( 23 ) 13
( 26 ) 12
( 37 ) 18
( 41 ) 15
( 42 ) 4
( 43 ) 16
( 55 ) 6

Functions placed in locations (Functions, Nodes) 1:
( 1 8 ) 1
( 1 19 ) 1
( 1 20 ) 1
( 1 23 ) 1
( 2 19 ) 1
( 2 22 ) 1
( 2 24 ) 1
( 3 15 ) 1
( 3 17 ) 1
( 6 26 ) 1
( 7 26 ) 1
( 8 3 ) 1
( 8 5 ) 1
( 9 26 ) 1
( 12 9 ) 1
( 12 21 ) 1
( 12 23 ) 1
( 13 2 ) 1
( 13 13 ) 1
( 13 14 ) 1
( 14 3 ) 1
( 15 10 ) 1
( 15 11 ) 1
( 16 25 ) 1
( 23 13 ) 1
( 26 7 ) 1
( 26 12 ) 1
( 37 18 ) 1
( 41 15 ) 1
( 42 1 ) 1
( 42 2 ) 1
( 42 4 ) 1
( 43 16 ) 1
( 43 18 ) 1
( 55 1 ) 1
( 55 6 ) 1

All functions so far placed in the building with fraction:
( 42 1 ) 0.92674
( 55 1 ) 0.0732601
( 13 2 ) 0.109048
( 42 2 ) 0.890952
( 8 3 ) 0.506494
( 14 3 ) 0.493506
( 42 4 ) 1
( 8 5 ) 1
( 55 6 ) 1
( 26 7 ) 0.373168
( 1 8 ) 1
( 12 9 ) 1
( 15 10 ) 1
( 15 11 ) 1
( 26 12 ) 1
( 13 13 ) 0.0346667
( 23 13 ) 0.750476
( 13 14 ) 1
( 3 15 ) 0.28381
( 41 15 ) 0.506667
( 43 16 ) 1
( 3 17 ) 1
( 37 18 ) 0.900433
( 43 18 ) 0.0995671
( 1 19 ) 0.647619
( 2 19 ) 0.304762
( 1 20 ) 1
( 12 21 ) 1
( 2 22 ) 1
( 1 23 ) 0.441558
( 12 23 ) 0.558442
( 2 24 ) 1
( 16 25 ) 0.952381
( 6 26 ) 0.365714
( 7 26 ) 0.259048
( 9 26 ) 0.256508
 Run time: 133.583

Objective value: 13968

Centres locked to locations (Function) Node:
( 1 ) 11
( 2 ) 23
( 3 ) 20
( 6 ) 26
( 7 ) 26
( 8 ) 18
( 9 ) 26
( 12 ) 24
( 13 ) 7
( 14 ) 12
( 15 ) 6
( 16 ) 25
( 23 ) 17
( 26 ) 14
( 37 ) 15
( 41 ) 5
( 42 ) 2
( 43 ) 15
( 55 ) 3

Functions placed in locations (Functions, Nodes) 1:
( 1 8 ) 1
( 1 9 ) 1
( 1 10 ) 1
( 1 11 ) 1
( 2 21 ) 1
( 2 22 ) 1
( 2 23 ) 1
( 3 20 ) 1
( 6 26 ) 1
( 7 26 ) 1
( 8 13 ) 1
( 8 18 ) 1
( 9 26 ) 1
( 12 19 ) 1
( 12 21 ) 1
( 12 24 ) 1
( 13 7 ) 1
( 13 8 ) 1
( 13 12 ) 1
( 14 12 ) 1
( 15 4 ) 1
( 15 6 ) 1
( 16 25 ) 1
( 23 16 ) 1
( 23 17 ) 1
( 26 14 ) 1
( 37 15 ) 1
( 41 5 ) 1
( 42 1 ) 1
( 42 2 ) 1
( 42 4 ) 1
( 43 15 ) 1
( 55 3 ) 1
( 55 5 ) 1

All functions so far placed in the building with fraction:
( 42 1 ) 1
( 42 2 ) 1
( 55 3 ) 1
( 15 4 ) 0.336797
( 42 4 ) 0.663203
( 41 5 ) 0.575758
( 55 5 ) 0.424242
( 15 6 ) 0.95671
( 13 7 ) 1
( 1 8 ) 0.852381
( 13 8 ) 0.147619
( 1 9 ) 1
( 1 10 ) 1
( 1 11 ) 1
( 13 12 ) 0.012987
( 14 12 ) 0.987013
( 8 13 ) 0.485714
( 26 14 ) 0.938095
( 37 15 ) 0.39619
( 43 15 ) 0.48
( 23 16 ) 1
( 23 17 ) 1
( 8 18 ) 1
( 12 19 ) 1
( 3 20 ) 0.904762
( 2 21 ) 0.304762
( 12 21 ) 0.685714
( 2 22 ) 1
( 2 23 ) 1
( 12 24 ) 1
( 16 25 ) 0.952381
( 6 26 ) 0.365714
( 7 26 ) 0.259048
( 9 26 ) 0.256508
 Run time: 8.424

Objective value: 6526

Centres locked to locations (Function) Node:
( 1 ) 11
( 2 ) 3
( 3 ) 23
( 6 ) 26
( 7 ) 26
( 8 ) 5
( 9 ) 26
( 12 ) 1
( 13 ) 13
( 14 ) 15
( 15 ) 7
( 16 ) 25
( 23 ) 14
( 26 ) 17
( 37 ) 19
( 41 ) 19
( 42 ) 21
( 43 ) 18
( 55 ) 22

Functions placed in locations (Functions, Nodes) 1:
( 1 8 ) 1
( 1 9 ) 1
( 1 10 ) 1
( 1 11 ) 1
( 2 3 ) 1
( 2 6 ) 1
( 3 20 ) 1
( 3 23 ) 1
( 6 26 ) 1
( 7 26 ) 1
( 8 4 ) 1
( 8 5 ) 1
( 9 26 ) 1
( 12 1 ) 1
( 12 2 ) 1
( 12 6 ) 1
( 13 13 ) 1
( 14 15 ) 1
( 15 7 ) 1
( 15 12 ) 1
( 16 25 ) 1
( 23 14 ) 1
( 26 16 ) 1
( 26 17 ) 1
( 37 19 ) 1
( 41 19 ) 1
( 42 15 ) 1
( 42 21 ) 1
( 42 24 ) 1
( 43 16 ) 1
( 43 18 ) 1
( 55 20 ) 1
( 55 22 ) 1

All functions so far placed in the building with fraction:
( 12 1 ) 1
( 12 2 ) 1
( 2 3 ) 1
( 8 4 ) 1
( 8 5 ) 1
( 2 6 ) 0.438961
( 12 6 ) 0.561039
( 15 7 ) 1
( 1 8 ) 1
( 1 9 ) 1
( 1 10 ) 1
( 1 11 ) 1
( 15 12 ) 1
( 13 13 ) 0.921905
( 23 14 ) 0.938095
( 14 15 ) 0.434286
( 42 15 ) 0.48381
( 26 16 ) 0.909091
( 43 16 ) 0.0909091
( 26 17 ) 1
( 43 18 ) 1
( 37 19 ) 0.39619
( 41 19 ) 0.506667
( 3 20 ) 0.354762
( 55 20 ) 0.645238
( 42 21 ) 1
( 55 22 ) 1
( 3 23 ) 1
( 42 24 ) 1
( 16 25 ) 0.952381
( 6 26 ) 0.365714
( 7 26 ) 0.259048
( 9 26 ) 0.256508
 Run time: 0.595

Objective value: 0

Centres locked to locations (Function) Node:

Functions placed in locations (Functions, Nodes) 1:

All functions so far placed in the building with fraction:
