DistanceNodes:
[
0	11	9	7	13	5	27	20	20	24	16	24	28	21	21	25	17	25
11	0	10	6	6	14	20	13	13	17	9	17	21	14	14	18	10	18
9	10	0	14	6	6	20	13	13	17	9	17	21	14	14	18	10	18
7	6	14	0	10	10	24	17	17	21	13	21	25	18	18	22	14	22
13	6	6	10	0	10	16	9	9	13	5	13	17	10	10	14	6	14
5	14	6	10	10	0	24	17	17	21	13	21	25	18	18	22	14	22
27	20	20	24	16	24	0	11	9	7	13	5	27	20	20	24	16	24
20	13	13	17	9	17	11	0	10	6	6	14	20	13	13	17	9	17
20	13	13	17	9	17	9	10	0	14	6	6	20	13	13	17	9	17
24	17	17	21	13	21	7	6	14	0	10	10	24	17	17	21	13	21
16	9	9	13	5	13	13	6	6	10	0	10	16	9	9	13	5	13
24	17	17	21	13	21	5	14	6	10	10	0	24	17	17	21	13	21
28	21	21	25	17	25	27	20	20	24	16	24	0	11	9	7	13	5
21	14	14	18	10	18	20	13	13	17	9	17	11	0	10	6	6	14
21	14	14	18	10	18	20	13	13	17	9	17	9	10	0	14	6	6
25	18	18	22	14	22	24	17	17	21	13	21	7	6	14	0	10	10
17	10	10	14	6	14	16	9	9	13	5	13	13	6	6	10	0	10
25	18	18	22	14	22	24	17	17	21	13	21	5	14	6	10	10	0
]
