DistanceNodes:
[
29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	35	30	23	22	27	19	27	25	30	23	22	27	19	27	33	26	25	30	22	30	23	26	31	24	23	28	20	28	34	27	26	31	23	31	24	27	24	27	18	17	16	15
22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	33	23	16	15	20	12	20	21	23	16	15	20	12	20	26	24	21	28	20	23	16	22	24	17	16	21	13	21	27	25	22	29	21	24	17	23	17	23	11	10	9	8
21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	30	22	15	14	19	11	19	20	22	15	14	19	11	19	25	21	20	25	17	22	15	21	23	16	15	20	12	20	26	22	21	26	18	23	16	22	16	22	10	9	8	7
26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	37	27	20	19	24	16	24	25	27	20	19	24	16	24	30	28	25	32	24	27	20	26	28	21	20	25	17	25	31	29	26	33	25	28	21	27	21	27	15	14	13	12
18	11	10	15	7	15	21	19	16	23	15	18	18	11	10	15	7	15	21	19	16	23	15	18	29	19	12	11	16	8	16	17	19	12	11	16	8	16	22	20	17	24	16	19	12	18	20	13	12	17	9	17	23	21	18	25	17	20	13	19	13	19	7	6	5	4
26	19	18	23	15	23	29	22	21	26	18	26	26	19	18	23	15	23	29	22	21	26	18	26	32	27	20	19	24	16	24	22	27	20	19	24	16	24	30	23	22	27	19	27	20	23	28	21	20	25	17	25	31	24	23	28	20	28	21	24	21	24	15	14	13	12
32	25	24	29	21	29	29	22	21	26	18	26	32	25	24	29	21	29	29	22	21	26	18	26	32	33	26	25	30	22	30	22	33	26	25	30	22	30	30	23	22	27	19	27	26	23	34	27	26	31	23	31	31	24	23	28	20	28	27	24	27	24	18	17	16	15
25	23	20	27	19	22	22	15	14	19	11	19	25	23	20	27	19	22	22	15	14	19	11	19	25	26	24	21	28	20	23	15	26	24	21	28	20	23	23	16	15	20	12	20	22	16	27	25	22	29	21	24	24	17	16	21	13	21	23	17	23	17	11	10	9	8
24	20	19	24	16	21	21	14	13	18	10	18	24	20	19	24	16	21	21	14	13	18	10	18	24	25	21	20	25	17	22	14	25	21	20	25	17	22	22	15	14	19	11	19	21	15	26	22	21	26	18	23	23	16	15	20	12	20	22	16	22	16	10	9	8	7
29	27	24	31	23	26	26	19	18	23	15	23	29	27	24	31	23	26	26	19	18	23	15	23	29	30	28	25	32	24	27	19	30	28	25	32	24	27	27	20	19	24	16	24	26	20	31	29	26	33	25	28	28	21	20	25	17	25	27	21	27	21	15	14	13	12
