DistanceNodes:
[
0	11	9	7	13	5	11	20	12	16	16	8	24	17	17	21	13	21	20
11	0	10	6	6	14	20	20	17	24	16	17	17	10	10	14	6	14	17
9	10	0	14	6	6	12	17	9	17	13	9	17	10	8	14	6	14	14
7	6	14	0	10	10	16	24	17	21	20	13	21	14	14	18	10	18	21
13	6	6	10	0	10	16	16	13	20	12	13	13	6	6	10	2	10	13
5	14	6	10	10	0	8	17	9	13	13	5	21	14	14	18	10	18	17
11	20	12	16	16	8	0	11	9	7	13	5	27	20	20	24	16	24	17
20	20	17	24	16	17	11	0	10	6	6	14	20	20	17	24	16	17	10
12	17	9	17	13	9	9	10	0	14	6	6	20	17	14	21	13	17	8
16	24	17	21	20	13	7	6	14	0	10	10	24	24	21	28	20	21	14
16	16	13	20	12	13	13	6	6	10	0	10	16	16	13	20	12	13	6
8	17	9	13	13	5	5	14	6	10	10	0	24	17	17	21	13	21	14
24	17	17	21	13	21	27	20	20	24	16	24	0	11	9	7	13	5	12
17	10	10	14	6	14	20	20	17	24	16	17	11	0	10	6	6	14	17
17	10	8	14	6	14	20	17	14	21	13	17	9	10	0	14	6	6	9
21	14	14	18	10	18	24	24	21	28	20	21	7	6	14	0	10	10	17
13	6	6	10	2	10	16	16	13	20	12	13	13	6	6	10	0	10	13
21	14	14	18	10	18	24	17	17	21	13	21	5	14	6	10	10	0	9
20	17	14	21	13	17	17	10	8	14	6	14	12	17	9	17	13	9	0
]
