NeighbourNodes: [
!Floor 1
	( 1 )  [2 4 6]
	( 2 )  [1 4 5 14]
	( 3 )  [5 6 15 26]
	( 4 )  [1 2 5 6]
	( 5 )  [2 3 4 6]
	( 6 )  [1 3 4 5]
	
	( 7 )  [8 10 12]
	( 8 )  [7 10 11 20]
	( 9 )  [11 12 21 26]
	( 10 ) [7 8 11 12]
	( 11 ) [8 9 10]
	( 12 ) [7 9 10]
	
	( 13 ) [19 14 16 18]
	( 14 ) [17 16 13 2]
	( 15 ) [3 21 17 18 26]
	( 16 ) [17 18 14 13]
	( 17 ) [14 16 15]
	( 18 ) [16 13 15]
	
	( 19 ) [24 20 13 22]
	( 20 ) [23 22 19 8]
	( 21 ) [9 24 23 15 26]
	( 22 ) [23 24 20 19]
	( 23 ) [20 22 21]
	( 24 ) [21 19 22]
	( 25 ) []
	( 26 ) [3 9 15 21]
	
!Floor 2
	( 27 ) []
!Floor 3
	( 28 ) []
!Floor 4
	( 29 ) []
!Floor 5
	( 30 ) []

]
