DistanceNodes:
[
0	11	9	7	13	5	24	17	17	21	13	21	31	24	24	28	20	28	31	24	24	28	20	28	32	25	25	29	21	29	32	25	25	29	21	29	16	17	18
11	0	10	6	6	14	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22	9	10	11
9	10	0	14	6	6	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22	9	10	11
7	6	14	0	10	10	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26	13	14	15
13	6	6	10	0	10	13	6	6	10	2	10	20	13	13	17	9	17	20	13	13	17	9	17	21	14	14	18	10	18	21	14	14	18	10	18	5	6	7
5	14	6	10	10	0	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26	13	14	15
24	17	17	21	13	21	0	11	9	7	13	5	31	24	24	28	20	28	31	24	24	28	20	28	32	25	25	29	21	29	32	25	25	29	21	29	16	17	18
17	10	10	14	6	14	11	0	10	6	6	14	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22	9	10	11
17	10	10	14	6	14	9	10	0	14	6	6	24	17	17	21	13	21	24	17	17	21	13	21	25	18	18	22	14	22	25	18	18	22	14	22	9	10	11
21	14	14	18	10	18	7	6	14	0	10	10	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26	13	14	15
13	6	6	10	2	10	13	6	6	10	0	10	20	13	13	17	9	17	20	13	13	17	9	17	21	14	14	18	10	18	21	14	14	18	10	18	5	6	7
21	14	14	18	10	18	5	14	6	10	10	0	28	21	21	25	17	25	28	21	21	25	17	25	29	22	22	26	18	26	29	22	22	26	18	26	13	14	15
31	24	24	28	20	28	31	24	24	28	20	28	0	11	9	7	13	5	24	17	17	21	13	21	31	24	24	28	20	28	31	24	24	28	20	28	17	16	17
24	17	17	21	13	21	24	17	17	21	13	21	11	0	10	6	6	14	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21	10	9	10
24	17	17	21	13	21	24	17	17	21	13	21	9	10	0	14	6	6	17	10	10	14	6	14	24	17	17	21	13	21	24	17	17	21	13	21	10	9	10
28	21	21	25	17	25	28	21	21	25	17	25	7	6	14	0	10	10	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25	14	13	14
20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	0	10	13	6	6	10	2	10	20	13	13	17	9	17	20	13	13	17	9	17	6	5	6
28	21	21	25	17	25	28	21	21	25	17	25	5	14	6	10	10	0	21	14	14	18	10	18	28	21	21	25	17	25	28	21	21	25	17	25	14	13	14
31	24	24	28	20	28	31	24	24	28	20	28	24	17	17	21	13	21	0	11	9	7	13	5	31	24	24	28	20	28	31	24	24	28	20	28	17	16	17
24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	11	0	10	6	6	14	24	17	17	21	13	21	24	17	17	21	13	21	10	9	10
24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	9	10	0	14	6	6	24	17	17	21	13	21	24	17	17	21	13	21	10	9	10
28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	7	6	14	0	10	10	28	21	21	25	17	25	28	21	21	25	17	25	14	13	14
20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	2	10	13	6	6	10	0	10	20	13	13	17	9	17	20	13	13	17	9	17	6	5	6
28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	5	14	6	10	10	0	28	21	21	25	17	25	28	21	21	25	17	25	14	13	14
32	25	25	29	21	29	32	25	25	29	21	29	31	24	24	28	20	28	31	24	24	28	20	28	0	11	9	7	13	5	24	17	17	21	13	21	18	17	16
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	11	0	10	6	6	14	17	10	10	14	6	14	11	10	9
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	9	10	0	14	6	6	17	10	10	14	6	14	11	10	9
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	7	6	14	0	10	10	21	14	14	18	10	18	15	14	13
21	14	14	18	10	18	21	14	14	18	10	18	20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	0	10	13	6	6	10	2	10	7	6	5
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	5	14	6	10	10	0	21	14	14	18	10	18	15	14	13
32	25	25	29	21	29	32	25	25	29	21	29	31	24	24	28	20	28	31	24	24	28	20	28	24	17	17	21	13	21	0	11	9	7	13	5	18	17	16
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	11	0	10	6	6	14	11	10	9
25	18	18	22	14	22	25	18	18	22	14	22	24	17	17	21	13	21	24	17	17	21	13	21	17	10	10	14	6	14	9	10	0	14	6	6	11	10	9
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	7	6	14	0	10	10	15	14	13
21	14	14	18	10	18	21	14	14	18	10	18	20	13	13	17	9	17	20	13	13	17	9	17	13	6	6	10	2	10	13	6	6	10	0	10	7	6	5
29	22	22	26	18	26	29	22	22	26	18	26	28	21	21	25	17	25	28	21	21	25	17	25	21	14	14	18	10	18	5	14	6	10	10	0	15	14	13
16	9	9	13	5	13	16	9	9	13	5	13	17	10	10	14	6	14	17	10	10	14	6	14	18	11	11	15	7	15	18	11	11	15	7	15	0	3	4
17	10	10	14	6	14	17	10	10	14	6	14	16	9	9	13	5	13	16	9	9	13	5	13	17	10	10	14	6	14	17	10	10	14	6	14	3	0	3
18	11	11	15	7	15	18	11	11	15	7	15	17	10	10	14	6	14	17	10	10	14	6	14	16	9	9	13	5	13	16	9	9	13	5	13	4	3	0
]
